Distance/um	Current/A
744.813	-5.156e-9
745.813	-5.156e-9
746.813	-5.156e-9
747.813	-5.157e-9
748.813	-5.155e-9
749.813	-5.155e-9
750.813	-5.156e-9
751.813	-5.156e-9
752.813	-5.157e-9
753.813	-5.157e-9
754.813	-5.158e-9
755.813	-5.158e-9
756.813	-5.158e-9
757.813	-5.157e-9
758.813	-5.157e-9
759.813	-5.158e-9
760.813	-5.157e-9
761.813	-5.158e-9
762.813	-5.158e-9
763.813	-5.158e-9
764.813	-5.159e-9
765.813	-5.159e-9
766.813	-5.159e-9
767.813	-5.159e-9
768.813	-5.158e-9
769.813	-5.158e-9
770.813	-5.158e-9
771.813	-5.159e-9
772.813	-5.159e-9
773.813	-5.160e-9
774.813	-5.161e-9
775.813	-5.161e-9
776.813	-5.160e-9
777.813	-5.160e-9
778.813	-5.160e-9
779.813	-5.160e-9
780.813	-5.160e-9
781.813	-5.160e-9
782.813	-5.161e-9
783.813	-5.162e-9
784.813	-5.163e-9
785.813	-5.163e-9
786.813	-5.162e-9
787.813	-5.162e-9
788.813	-5.161e-9
789.813	-5.161e-9
790.813	-5.162e-9
791.813	-5.163e-9
792.813	-5.163e-9
793.813	-5.164e-9
794.813	-5.164e-9
795.813	-5.165e-9
796.813	-5.164e-9
797.813	-5.164e-9
798.813	-5.164e-9
799.813	-5.163e-9
800.813	-5.164e-9
801.813	-5.165e-9
802.813	-5.165e-9
803.813	-5.166e-9
804.813	-5.165e-9
805.813	-5.165e-9
806.813	-5.166e-9
807.813	-5.166e-9
808.813	-5.166e-9
809.813	-5.166e-9
810.813	-5.165e-9
811.813	-5.166e-9
812.813	-5.167e-9
813.813	-5.167e-9
814.813	-5.168e-9
815.813	-5.167e-9
816.813	-5.168e-9
817.813	-5.167e-9
818.813	-5.167e-9
819.813	-5.167e-9
820.813	-5.167e-9
821.813	-5.168e-9
822.813	-5.168e-9
823.813	-5.168e-9
824.813	-5.169e-9
825.813	-5.169e-9
826.813	-5.168e-9
827.813	-5.169e-9
828.813	-5.169e-9
829.813	-5.169e-9
830.813	-5.169e-9
831.813	-5.169e-9
832.813	-5.170e-9
833.813	-5.170e-9
834.813	-5.170e-9
835.813	-5.171e-9
836.813	-5.171e-9
837.813	-5.171e-9
838.813	-5.170e-9
839.813	-5.170e-9
840.813	-5.170e-9
841.813	-5.171e-9
842.813	-5.171e-9
843.813	-5.172e-9
844.813	-5.172e-9
845.813	-5.171e-9
846.813	-5.172e-9
847.813	-5.172e-9
848.813	-5.171e-9
849.813	-5.171e-9
850.813	-5.172e-9
851.813	-5.172e-9
852.813	-5.173e-9
853.813	-5.173e-9
854.813	-5.173e-9
855.813	-5.173e-9
856.813	-5.174e-9
857.813	-5.173e-9
858.813	-5.173e-9
859.813	-5.173e-9
860.813	-5.174e-9
861.813	-5.173e-9
862.813	-5.174e-9
863.813	-5.175e-9
864.813	-5.175e-9
865.813	-5.175e-9
866.813	-5.175e-9
867.813	-5.175e-9
868.813	-5.174e-9
869.813	-5.175e-9
870.813	-5.176e-9
871.813	-5.175e-9
872.813	-5.176e-9
873.813	-5.176e-9
874.813	-5.177e-9
875.813	-5.176e-9
876.813	-5.176e-9
877.813	-5.176e-9
878.813	-5.177e-9
879.813	-5.177e-9
880.813	-5.177e-9
881.813	-5.177e-9
882.813	-5.177e-9
883.813	-5.178e-9
884.813	-5.179e-9
885.813	-5.179e-9
886.813	-5.178e-9
887.813	-5.179e-9
888.813	-5.179e-9
889.813	-5.178e-9
890.813	-5.178e-9
891.813	-5.178e-9
892.813	-5.180e-9
893.813	-5.180e-9
894.813	-5.180e-9
895.813	-5.181e-9
896.813	-5.180e-9
897.813	-5.180e-9
898.813	-5.179e-9
899.813	-5.180e-9
900.813	-5.180e-9
901.813	-5.180e-9
902.813	-5.181e-9
903.813	-5.182e-9
904.813	-5.182e-9
905.813	-5.183e-9
906.813	-5.182e-9
907.813	-5.182e-9
908.813	-5.182e-9
909.813	-5.182e-9
910.813	-5.183e-9
911.813	-5.183e-9
912.813	-5.184e-9
913.813	-5.185e-9
914.813	-5.186e-9
915.813	-5.186e-9
916.813	-5.186e-9
917.813	-5.186e-9
918.813	-5.185e-9
919.813	-5.184e-9
920.813	-5.186e-9
921.813	-5.186e-9
922.813	-5.187e-9
923.813	-5.188e-9
924.813	-5.188e-9
925.813	-5.188e-9
926.813	-5.188e-9
927.813	-5.188e-9
928.813	-5.188e-9
929.813	-5.188e-9
930.813	-5.188e-9
931.813	-5.188e-9
932.813	-5.189e-9
933.813	-5.190e-9
934.813	-5.191e-9
935.813	-5.191e-9
936.813	-5.191e-9
937.813	-5.191e-9
938.813	-5.190e-9
939.813	-5.191e-9
940.813	-5.192e-9
941.813	-5.192e-9
942.813	-5.193e-9
943.813	-5.194e-9
944.813	-5.194e-9
945.813	-5.195e-9
946.813	-5.196e-9
947.813	-5.196e-9
948.813	-5.195e-9
949.813	-5.195e-9
950.813	-5.195e-9
951.813	-5.197e-9
952.813	-5.198e-9
953.813	-5.199e-9
954.813	-5.200e-9
955.813	-5.201e-9
956.813	-5.200e-9
957.813	-5.201e-9
958.813	-5.200e-9
959.813	-5.201e-9
960.813	-5.202e-9
961.813	-5.203e-9
962.813	-5.204e-9
963.813	-5.205e-9
964.813	-5.206e-9
965.813	-5.206e-9
966.813	-5.207e-9
967.813	-5.207e-9
968.813	-5.208e-9
969.813	-5.208e-9
970.813	-5.208e-9
971.813	-5.211e-9
972.813	-5.212e-9
973.813	-5.213e-9
974.813	-5.214e-9
975.813	-5.215e-9
976.813	-5.215e-9
977.813	-5.217e-9
978.813	-5.217e-9
979.813	-5.218e-9
980.813	-5.219e-9
981.813	-5.221e-9
982.813	-5.223e-9
983.813	-5.225e-9
984.813	-5.227e-9
985.813	-5.229e-9
986.813	-5.230e-9
987.813	-5.231e-9
988.813	-5.232e-9
989.813	-5.234e-9
990.813	-5.236e-9
991.813	-5.238e-9
992.813	-5.241e-9
993.813	-5.242e-9
994.813	-5.244e-9
995.813	-5.246e-9
996.813	-5.248e-9
997.813	-5.250e-9
998.813	-5.249e-9
999.813	-5.251e-9
1000.813	-5.253e-9
1001.813	-5.254e-9
1002.813	-5.256e-9
1003.813	-5.257e-9
1004.813	-5.258e-9
1005.813	-5.258e-9
1006.813	-5.258e-9
1007.813	-5.259e-9
1008.813	-5.257e-9
1009.813	-5.256e-9
1010.813	-5.254e-9
1011.813	-5.250e-9
1012.813	-5.247e-9
1013.813	-5.240e-9
1014.813	-5.234e-9
1015.813	-5.221e-9
1016.813	-5.203e-9
1017.813	-5.182e-9
1018.813	-5.147e-9
1019.769	-5.108e-9
1020.687	-5.055e-9
1021.544	-4.985e-9
1022.319	-4.889e-9
1022.978	-4.765e-9
1023.497	-4.628e-9
1023.889	-4.468e-9
1024.120	-4.291e-9
1024.187	-4.134e-9
1024.247	-4.013e-9
1024.301	-3.929e-9
1024.350	-3.871e-9
1024.394	-3.830e-9
